,Title,Post Link,Author,Date
0,"A classic keyboard returns as the hot-swappable, wireless WhiteFox Eclipse",https://www.theverge.com/2023/4/6/23672354/whitefox-eclipse-wireless-mechanical-keyboard-kickstarter,Jon Porter,2023-04-06T13:00:00-04:00
1,Here are some must-have accessories for your Nintendo Switch,https://www.theverge.com/22912942/best-nintendo-switch-controllers-cases-chargers-headsets-accessories,Alice Newcome-Beill,2023-04-06T12:37:38-04:00
2,Meta adds 14 free games you can play over video calls inside Messenger,https://www.theverge.com/2023/4/6/23672441/meta-facebook-games-messenger-video-calls,Umar Shakir,2023-04-06T11:47:12-04:00
3,T-Mobile will provide free MLB.TV to customers through 2028,https://www.theverge.com/2023/4/6/23672572/t-mobile-mlb-tv-free-2028,Emma Roth,2023-04-06T11:41:21-04:00
4,"Microsoft’s Windows 365 Cloud PCs get more flexible, LG TV integration, and more",https://www.theverge.com/2023/4/6/23672363/microsoft-windows-365-frontline-lg-tv-integration-features,Tom Warren,2023-04-06T11:00:00-04:00
5,Discord is launching an in-app soundboard,https://www.theverge.com/2023/4/6/23672001/discord-soundboard-nitro-super-emoji-reactions-themes-avatar-decorations,Jay Peters,2023-04-06T11:00:00-04:00
6,The first big Wild Hearts update is beautiful and deadly,https://www.theverge.com/23671365/wild-hearts-spring-update-murakumo,Andrew Webster,2023-04-06T11:00:00-04:00
7,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Thomas Ricker,2023-04-06T10:46:19-04:00
8,Meta’s layoffs are reportedly ‘gutting’ its new customer service teams,https://www.theverge.com/2023/4/6/23672420/meta-layoffs-customer-support-facebook-instagram,Emma Roth,2023-04-06T10:46:05-04:00
9,Apple’s M2 Mac Mini with expanded 512GB storage is $110 off,https://www.theverge.com/2023/4/6/23671495/apple-m2-mac-mini-ipad-pro-adata-ps5-ssd-anker-deal-sale,Antonio G. Di Benedetto,2023-04-06T10:15:00-04:00
10, , , , 
